candidate,norm,count,relative_frequency,expected_uniform_count
3,188,22,0.0022,39.8406374501992
3,189,36,0.0036,39.8406374501992
3,190,45,0.0045,39.8406374501992
3,191,40,0.004,39.8406374501992
3,192,47,0.0047,39.8406374501992
3,193,36,0.0036,39.8406374501992
3,194,51,0.0051,39.8406374501992
3,195,40,0.004,39.8406374501992
3,196,31,0.0031,39.8406374501992
3,197,41,0.0041,39.8406374501992
3,198,37,0.0037,39.8406374501992
3,199,40,0.004,39.8406374501992
3,200,46,0.0046,39.8406374501992
3,201,46,0.0046,39.8406374501992
3,202,34,0.0034,39.8406374501992
3,203,41,0.0041,39.8406374501992
3,204,43,0.0043,39.8406374501992
3,205,23,0.0023,39.8406374501992
3,206,43,0.0043,39.8406374501992
3,207,33,0.0033,39.8406374501992
3,208,45,0.0045,39.8406374501992
3,209,42,0.0042,39.8406374501992
3,210,42,0.0042,39.8406374501992
3,211,46,0.0046,39.8406374501992
3,212,39,0.0039,39.8406374501992
3,213,31,0.0031,39.8406374501992
3,214,39,0.0039,39.8406374501992
3,215,45,0.0045,39.8406374501992
3,216,49,0.0049,39.8406374501992
3,217,41,0.0041,39.8406374501992
3,218,43,0.0043,39.8406374501992
3,219,41,0.0041,39.8406374501992
3,220,42,0.0042,39.8406374501992
3,221,34,0.0034,39.8406374501992
3,222,44,0.0044,39.8406374501992
3,223,46,0.0046,39.8406374501992
3,224,43,0.0043,39.8406374501992
3,225,41,0.0041,39.8406374501992
3,226,35,0.0035,39.8406374501992
3,227,45,0.0045,39.8406374501992
3,228,41,0.0041,39.8406374501992
3,229,47,0.0047,39.8406374501992
